Year,BaseDeathsPerKT,Yield KT,Population,Death Number,Death Percent
1952,5405,25,50429200,135125,0.267949918
1953,5405,18,50592900,97290,0.19229971
1956,5405,142.5,51183500,770212.5,1.504806236
1957,5405,3053.53,51430200,16504329.65,32.09073589
1958,5405,4849,51652600,26208845,50.74061131
