City,Deaths,Injuries,People in Ps1,% dead,KT,bombYear,series,shot
New York,557030,861630,2724833,20,100,1962,Dominic I,Mesilla
Los Angeles,184680,292520,980573,19,100,1962,Dominic I,Mesilla
Washington DC,230060,237610,793508,29,100,1962,Dominic I,Mesilla
San Francisco,144760,310610,914204,16,100,1962,Dominic I,Mesilla
Chiacgo,294250,266210,917803,32,100,1962,Dominic I,Mesilla
Houston ,129300,124530,475972,27,100,1962,Dominic I,Mesilla
