Year,BaseDeathsPerKT,Yield KT,Population,Death Percent
1949,5405,22,101160000,0.117546461
1951,5405,80.3,104439000,0.415574163
1953,5405,440.3,107828000,2.207053363
1954,5405,121.831,109643000,0.600582395
1955,5405,1864.5,111572000,9.03239388
1956,5405,1975.8,113327000,9.423349246
1957,5405,6233,115035000,29.28618681
1958,5405,16251.711,116749000,75.23875832
1961,5405,95698.135,121586000,425.4177452
1962,5405,141547.279,123128000,621.3558598
