City,Deaths,Injuries,People in Ps1,% dead,KT,bombYear,series,shot
New York,4580,107720,360221,1,1,1952,Tumbler ,Able
Los Angeles,9460,37260,129501,7,1,1952,Tumbler ,Able
Washington DC,6440,46580,155845,4,1,1952,Tumbler ,Able
San Francisco,1310,24540,82758,2,1,1952,Tumbler ,Able
Chiacgo,3650,59830,216063,2,1,1952,Tumbler ,Able
Houston ,2590,37590,109029,2,1,1952,Tumbler ,Able
