City,Deaths,Injuries,People in Ps1,% dead,KT,bombYear,series,shot
New York,163710,440000,1301806,13,8,1951,Ranger,Baker
Los Angeles,65870,130910,401322,16,8,1951,Ranger,Baker
Washington DC,77200,158530,456165,17,8,1951,Ranger,Baker
San Francisco,38440,132600,417142,9,8,1951,Ranger,Baker
Chiacgo,90760,203390,565556,16,8,1951,Ranger,Baker
Houston ,59570,71110,215842,28,8,1951,Ranger,Baker
