City,date,series,shot,KT,peoplePresent,population,JR,KR,JW,KW,JS,injured,fatalities1950
Hiroshima,8/5/45,Alberta,Little Boy,15,"348,000","285,000","256,000","20,000","12,000","3,000","48,000","86,000","130,000"
Nagasaki,8/9/45,Alberta,Fat Man,21,"263,000","240,000","240,000","10,000",,"2,500","9,000","75,000","70,000"
