City,Deaths,Injuries,People in Ps1,% dead,KT,bombYear,series,shot
New York,263560,512000,1647190,16,15,1945,Alberta,Little Boy
Los Angeles,100040,150700,504935,20,15,1945,Alberta,Little Boy
Washington DC,120550,168800,535169,23,15,1945,Alberta,Little Boy
San Francisco,63950,171640,570033,11,15,1945,Alberta,Little Boy
Chiacgo,151400,208770,636374,24,15,1945,Alberta,Little Boy
Houston ,90170,65040,255864,35,15,1945,Alberta,Little Boy
