City,Deaths,Injuries,People in Ps1,% dead,KT,bombYear,series,shot
New York,1114820,1411010,4629595,24,500,1952,Ivy,King
Los Angeles,350100,601750,1968209,18,500,1952,Ivy,King
Washington DC,392540,378780,1355964,29,500,1952,Ivy,King
San Francisco,340350,356690,1025469,33,500,1952,Ivy,King
Chiacgo,484670,433340,1610608,30,500,1952,Ivy,King
Houston ,197810,263450,904671,22,500,1952,Ivy,King
