City,Deaths,Injuries,People in Ps1,% dead,KT,bombYear,series,shot
New York,2536080,2682100,9271142,27,3880,1962,Dominic I,Pamlico
Los Angeles,917310,1495400,4866248,19,3880,1962,Dominic I,Pamlico
Washington DC,762720,776800,2706896,28,3880,1962,Dominic I,Pamlico
San Francisco,780020,384270,1762627,44,3880,1962,Dominic I,Pamlico
Chiacgo,897190,953730,3282010,27,3880,1962,Dominic I,Pamlico
Houston ,440620,644930,2134647,21,3880,1962,Dominic I,Pamlico
