City,Deaths,Injuries,People in Ps1,% dead,KT,bombYear,series,shot
New York,3381940,3216410,10942043,31,8300,1962,Dominic I,Housatonic
Los Angeles,1342880,1965150,6396550,21,8300,1962,Dominic I,Housatonic
Washington DC,988460,935580,3238538,31,8300,1962,Dominic I,Housatonic
San Francisco,925740,471570,2243531,41,8300,1962,Dominic I,Housatonic
Chiacgo,1166670,1188720,3991117,29,8300,1962,Dominic I,Housatonic
Houston ,626870,881440,2944393,21,8300,1962,Dominic I,Housatonic
